Upc,Brand,Title,Url,Sales Rank,Num Used,Price Used,Num New,Price New,Num Revs,Rating
768687000000,Giro,"Giro Atmos Cycling Helmet (Matte Black/Highlight Yellow, Large)",http://www.amazon.com/Giro-Cycling-Helmet-Highlight-Yellow/dp/B008Z9DCQC%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9DCQC,0,2,$135.00 ,15,$159.99 ,106,4.5
768687000000,Giro,"Giro Savant Cycling Helmet (Highlight Yellow, Medium)",http://www.amazon.com/Giro-Savant-Cycling-Helmet-Highlight/dp/B008Z9EIK6%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9EIK6,0,0,,13,$79.99 ,135,4.7
768687000000,Giro,Giro 2014 Rodeo Youth Bike Helmet (Black/Pink Stars - ONE SIZE),http://www.amazon.com/Giro-Rodeo-Youth-Helmet-Black/dp/B00FOTTYX6%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00FOTTYX6,0,0,,5,$24.99 ,4,5
361857000000,Giro,"Giros Savant Road Bike Helmet (White/Silver, Small)",http://www.amazon.com/Giros-Savant-Helmet-White-Silver/dp/B005I6OA3Y%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6OA3Y,0,0,,12,$79.99 ,135,4.7
768687000000,Giro,"Giro Savant Cycling Helmet (Blue/White, Small)",http://www.amazon.com/Giro-Savant-Cycling-Helmet-White/dp/B008Z9EGFI%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9EGFI,0,1,$67.32 ,12,$76.50 ,135,4.7
768687000000,Bell,"Bell Muni Bike Helmet (Matte Titanium, Medium/Large)",http://www.amazon.com/Bell-Helmet-Matte-Titanium-Medium/dp/B008Z9HE66%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9HE66,0,0,,7,Too low to display,39,4
768687000000,Giro,"Giro Atmos Cycling Helmet (Matte White/Silver, Medium)",http://www.amazon.com/Giro-Cycling-Helmet-Silver-Medium/dp/B008Z9D45Q%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9D45Q,0,0,,8,$135.99 ,106,4.5
768687000000,Bell,"Bell Muni Helmet Matte Black Vis, S/M",http://www.amazon.com/Bell-Muni-Helmet-Matte-Black/dp/B00FOC6KH6%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00FOC6KH6,0,1,$40.33 ,6,Too low to display,39,4
768687000000,Giro,"Giro Trinity Women's Road Helmet - 2014 - MATTE TITANIUM/WHITE, One Size",http://www.amazon.com/Giro-Trinity-Womens-Road-Helmet/dp/B00FP13P06%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00FP13P06,0,1,$31.12 ,7,$34.99 ,3,5
768687000000,Giro,Giro Aeon Cycling Helmet (Matte Red/Black Medium),http://www.amazon.com/Giro-Cycling-Helmet-Matte-Medium/dp/B008Z9BQP6%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9BQP6,0,0,,20,$195.00 ,104,4.8
361857000000,Giro,"Giros Savant Road Bike Helmet (Matte Black/Charcoal, Medium)",http://www.amazon.com/Giros-Savant-Helmet-Charcoal-Medium/dp/B005I6SX82%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB005I6SX82,0,0,,12,$79.99 ,135,4.7
768687000000,Bell Sports,Giro Atmos Bike Helmet Red/black Medium,http://www.amazon.com/Giro-Atmos-Helmet-black-Medium/dp/B00AI0U1E2%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00AI0U1E2,"385,942",0,,1,$135.99 ,0,4.7
768687000000,Giro,"Giro Atmos Cycling Helmet (Matte Black/Highlight Yellow, Medium)",http://www.amazon.com/Giro-Cycling-Helmet-Highlight-Yellow/dp/B008Z9DBW2%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9DBW2,0,0,,11,$159.99 ,106,4.5
768687000000,Giro,"Giro Feature Cycling Helmet (Matte Black, Small)",http://www.amazon.com/Giro-Feature-Cycling-Helmet-Matte/dp/B008Z9FP26%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9FP26,"62,724",1,$54.38 ,6,$67.45 ,3,4.7
